branch,dataset,S8_comp,S8_obs,sigma_obs_sym,sigma_total,delta,pull_sigma,bibkey
Newtonian-gauge benchmark,"DES Y3 cosmic shear, $\Lambda$CDM-optimized",0.7871044075248212,0.772,0.0175,0.026131733677657133,0.015104407524821228,0.5780101584968943,DESY3Shear
Newtonian-gauge benchmark,KiDS-1000 cosmic shear,0.7871044075248212,0.759,0.0225,0.02971308642669085,0.02810440752482124,0.9458595825836338,KiDS1000
Newtonian-gauge benchmark,HSC-Y3 cosmic shear,0.7871044075248212,0.776,0.0325,0.03785323638739494,0.011104407524821225,0.29335424350978273,HSCY3Shear
source-family B proxy,"DES Y3 cosmic shear, $\Lambda$CDM-optimized",0.7869508574205888,0.772,0.0175,0.02613060188744224,0.01495085742058877,0.5721589378227757,DESY3Shear
source-family B proxy,KiDS-1000 cosmic shear,0.7869508574205888,0.759,0.0225,0.029712091057345662,0.02795085742058878,0.940723336053406,KiDS1000
source-family B proxy,HSC-Y3 cosmic shear,0.7869508574205888,0.776,0.0325,0.03785245507229353,0.010950857420588767,0.28930375585081536,HSCY3Shear
source-family D proxy,"DES Y3 cosmic shear, $\Lambda$CDM-optimized",0.7870100874385283,0.772,0.0175,0.02613103844090395,0.015010087438528275,0.5744160329668487,DESY3Shear
source-family D proxy,KiDS-1000 cosmic shear,0.7870100874385283,0.759,0.0225,0.029712474989472014,0.028010087438528286,0.9427046198087863,KiDS1000
source-family D proxy,HSC-Y3 cosmic shear,0.7870100874385283,0.776,0.0325,0.037852756438600345,0.011010087438528271,0.29086620036211513,HSCY3Shear
